session_id,user_id,timestamp,channel,device,session_duration,page_views
SES_000001,USER_000179,2025-12-09 14:19:22,Paid Search,Tablet,19,18
SES_000002,USER_001467,2025-12-04 00:20:22,Paid Search,Tablet,4,7
SES_000003,USER_001430,2025-12-12 09:52:22,Email,Desktop,255,6
SES_000004,USER_001237,2025-11-12 21:35:22,Social Media,Mobile,18,12
SES_000005,USER_001699,2025-10-22 13:04:22,Organic Search,Mobile,14,10
SES_000006,USER_001584,2025-12-09 07:14:22,Direct,Desktop,8,8
SES_000007,USER_000334,2025-10-26 14:12:22,Organic Search,Mobile,181,12
SES_000008,USER_001094,2025-11-05 22:31:22,Referral,Tablet,13,6
SES_000009,USER_000470,2025-10-20 16:47:22,Referral,Desktop,207,2
SES_000010,USER_000436,2025-09-23 21:43:22,Paid Search,Tablet,376,11
SES_000011,USER_001104,2025-12-12 02:43:22,Referral,Mobile,27,18
SES_000012,USER_001044,2025-10-23 10:55:22,Direct,Desktop,1066,5
SES_000013,USER_001222,2025-11-21 14:06:22,Organic Search,Desktop,282,14
SES_000014,USER_001394,2025-09-27 23:42:22,Email,Tablet,354,1
SES_000015,USER_000324,2025-10-04 09:14:22,Social Media,Mobile,21,14
SES_000016,USER_001783,2025-11-16 12:04:22,Social Media,Desktop,127,4
SES_000017,USER_001953,2025-12-08 21:11:22,Direct,Mobile,258,18
SES_000018,USER_000491,2025-11-25 11:56:22,Organic Search,Mobile,379,10
SES_000019,USER_001569,2025-09-26 19:14:22,Organic Search,Mobile,304,18
SES_000020,USER_001976,2025-10-05 16:00:22,Direct,Tablet,370,14
SES_000021,USER_000898,2025-10-17 05:06:22,Paid Search,Mobile,959,12
SES_000022,USER_000452,2025-11-25 01:25:22,Organic Search,Tablet,145,19
SES_000023,USER_001053,2025-09-19 14:03:22,Paid Search,Desktop,353,3
SES_000024,USER_001607,2025-10-19 20:00:22,Direct,Tablet,154,8
SES_000025,USER_001380,2025-11-19 00:30:22,Referral,Mobile,95,2
SES_000026,USER_001099,2025-12-12 07:24:22,Referral,Desktop,51,7
SES_000027,USER_000201,2025-11-15 15:45:22,Email,Desktop,105,18
SES_000028,USER_000986,2025-09-26 07:52:22,Organic Search,Desktop,32,16
SES_000029,USER_000585,2025-10-17 00:15:22,Email,,89,15
SES_000030,USER_000446,2025-11-13 10:04:22,Direct,Mobile,30,10
SES_000031,USER_001883,2025-09-27 06:05:22,Referral,Desktop,157,17
